id,job_title,company,location,salary_range,tags,date_posted
1,Software Engineer,ABC Company,New York,"$80,000 - $100,000","Python, Django, SQL",2023-05-28T14:46:28.540551Z
2,Front-end Developer,XYZ Corporation,San Francisco,"$70,000 - $90,000","HTML, CSS, JavaScript, React",2023-05-28T14:46:28.540551Z
3,Data Analyst,Data Insights Ltd.,London,"£40,000 - £50,000","SQL, Excel, Data Visualization",2023-05-28T14:46:28.540551Z
4,UX Designer,Creative Designs Inc.,Los Angeles,"$60,000 - $80,000","User Research, Wireframing, Prototyping",2023-05-28T14:46:28.540551Z
5,Full Stack Developer,Tech Solutions Ltd.,Berlin,"€50,000 - €70,000","JavaScript, Node.js, React, MongoDB",2023-05-28T14:46:28.540551Z
6,Marketing Manager,Global Marketing Agency,Sydney,"$90,000 - $110,000","Digital Marketing, SEO, Social Media",2023-05-28T14:46:28.540551Z
7,Project Manager,Leading Tech Solutions,New York,"$100,000 - $120,000","Agile, Scrum, Stakeholder Management",2023-05-28T14:46:28.540551Z
8,Graphic Designer,Creative Minds Studio,Paris,"€40,000 - €60,000","Adobe Photoshop, Illustrator, Branding",2023-05-28T14:46:28.540551Z
9,Sales Executive,SalesPro Inc.,Chicago,"$50,000 - $70,000","Sales, Negotiation, Relationship Building",2023-05-28T14:46:28.540551Z
10,Data Scientist,Analytics Solutions,Toronto,"CAD 80,000 - CAD 100,000","Python, Machine Learning, Data Analysis",2023-05-28T14:46:28.540551Z
